task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,a59afb86-40a2-4774-85ce-a2d89dcb6777,kaptain-worker3,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-001,pilot-burst0-001,df04f535-3dfa-4394-9827-ae67493193eb,kaptain-worker,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-002,pilot-burst0-002,2a14daca-af11-4003-bffb-f5056c8850cc,kaptain-worker,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-003,pilot-burst0-003,d00a29f1-d156-4105-9020-ec267bef6841,kaptain-worker2,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-004,pilot-burst0-004,74450893-f6ff-4073-8e1c-efcb9df61378,kaptain-worker,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-005,pilot-burst0-005,3461fa4f-f037-4a16-904d-32af3040c904,kaptain-worker2,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-006,pilot-burst0-006,bb4f6ba5-f060-40e0-82a8-9b1d500d38dc,kaptain-worker2,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-007,pilot-burst0-007,69f980c4-06ae-45a9-b3e3-fd90003cae88,kaptain-worker3,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-008,pilot-burst0-008,eabde376-bdde-4376-bd0c-8d57f2e4a5e2,kaptain-worker2,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst0-009,pilot-burst0-009,a1e4bfa8-33e1-45f9-a4fd-3656293c0a3b,kaptain-worker3,Running,2026-09-17T21:04:51Z,2026-09-17T21:04:51Z,True
pilot-burst1-000,pilot-burst1-000,5dee934b-7de4-43db-80b7-81079050a851,kaptain-worker3,Running,2026-09-17T21:05:00Z,2026-09-17T21:05:00Z,True
pilot-burst1-001,pilot-burst1-001,2561db9f-45ea-4cdd-93cd-09fc023dd517,kaptain-worker2,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-002,pilot-burst1-002,6ed1d3e2-e23f-414e-8210-05eb4c33c1db,kaptain-worker,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-003,pilot-burst1-003,2124fdfb-aa0a-4668-9997-5499bdaa2dcb,kaptain-worker3,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-004,pilot-burst1-004,b87ddba4-9111-442d-abd5-9bd2b56902e5,kaptain-worker2,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-005,pilot-burst1-005,3db01d5f-e4d0-41bb-af14-187829f4b14a,kaptain-worker,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-006,pilot-burst1-006,f2b199d2-fcbd-41b3-835c-a3873bd96a05,kaptain-worker3,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-007,pilot-burst1-007,e1d4df0b-65f1-4a16-b335-56ee3fef12b6,kaptain-worker2,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-008,pilot-burst1-008,0cefa861-342b-4ac9-92f0-001354cbbed3,kaptain-worker2,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst1-009,pilot-burst1-009,9ac1e7a0-846f-4992-9a64-fb1ccbb7626b,kaptain-worker,Running,2026-09-17T21:05:01Z,2026-09-17T21:05:01Z,True
pilot-burst2-000,pilot-burst2-000,2e09e6ae-dfc6-416a-845f-2d2696ecbcc1,kaptain-worker,Pending,2026-09-17T21:05:10Z,2026-09-17T21:05:10Z,True
pilot-burst2-001,pilot-burst2-001,a10a2ff6-f380-4567-b40c-31385e08f36b,kaptain-worker2,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-002,pilot-burst2-002,27652830-8e86-424b-b3cf-838c62bac511,kaptain-worker3,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-003,pilot-burst2-003,2ce15ce6-2664-4366-9f8a-13a432c12e22,kaptain-worker,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-004,pilot-burst2-004,3fe77ac4-63ab-4c71-af4a-fd92e894bbaf,kaptain-worker3,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-005,pilot-burst2-005,0f40c6d2-d96f-408c-ad83-7c19d7996a11,kaptain-worker,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-006,pilot-burst2-006,1bc74ce7-8a38-4bf7-a1f4-6bdf7a92b6a5,kaptain-worker2,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-007,pilot-burst2-007,716e3a34-20de-4664-b5a4-51af9bb21657,kaptain-worker3,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-008,pilot-burst2-008,9c1253c0-61d9-492a-851c-b1aaa4946f20,kaptain-worker3,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-burst2-009,pilot-burst2-009,6f255bfe-62b7-4983-996f-04f2fc3dcc0f,kaptain-worker,Pending,2026-09-17T21:05:11Z,2026-09-17T21:05:11Z,True
pilot-steady-000,pilot-steady-000,52c766c5-8acc-4e47-8207-6c94304e751e,kaptain-worker,Running,2026-09-17T21:04:10Z,2026-09-17T21:04:10Z,True
pilot-steady-001,pilot-steady-001,add183f2-f581-4606-9fbd-5e2dc711819c,kaptain-worker2,Running,2026-09-17T21:04:11Z,2026-09-17T21:04:11Z,True
pilot-steady-002,pilot-steady-002,3f7fca08-0125-454c-b3cd-c5e4d0951a97,kaptain-worker2,Running,2026-09-17T21:04:12Z,2026-09-17T21:04:12Z,True
pilot-steady-003,pilot-steady-003,7834c804-8156-44b6-b693-d6d0332b7fcc,kaptain-worker3,Running,2026-09-17T21:04:13Z,2026-09-17T21:04:13Z,True
pilot-steady-004,pilot-steady-004,539569b8-0a96-4277-b22e-48d4374be28f,kaptain-worker2,Running,2026-09-17T21:04:14Z,2026-09-17T21:04:14Z,True
pilot-steady-005,pilot-steady-005,beba9707-86c2-4a6d-b04e-6268c40c7346,kaptain-worker3,Running,2026-09-17T21:04:15Z,2026-09-17T21:04:15Z,True
pilot-steady-006,pilot-steady-006,79fbe8d0-c7d5-46b8-9d63-a7913637ca95,kaptain-worker3,Running,2026-09-17T21:04:16Z,2026-09-17T21:04:16Z,True
pilot-steady-007,pilot-steady-007,6bf48e15-af46-4248-988a-bd743c0969eb,kaptain-worker,Running,2026-09-17T21:04:17Z,2026-09-17T21:04:17Z,True
pilot-steady-008,pilot-steady-008,29b54ced-3976-4fa6-9339-128702e101ea,kaptain-worker3,Running,2026-09-17T21:04:18Z,2026-09-17T21:04:18Z,True
pilot-steady-009,pilot-steady-009,53f318c0-d9bc-4178-b08c-5ce45d966999,kaptain-worker,Running,2026-09-17T21:04:19Z,2026-09-17T21:04:19Z,True
pilot-steady-010,pilot-steady-010,20d11e00-b274-430e-8a0c-4dce4d073677,kaptain-worker3,Running,2026-09-17T21:04:20Z,2026-09-17T21:04:20Z,True
pilot-steady-011,pilot-steady-011,e0b2e78a-a27d-407c-a908-eb2553554f0e,kaptain-worker2,Running,2026-09-17T21:04:21Z,2026-09-17T21:04:21Z,True
pilot-steady-012,pilot-steady-012,2d6f11df-b436-46e5-b9e8-d62365f03f6b,kaptain-worker2,Running,2026-09-17T21:04:22Z,2026-09-17T21:04:22Z,True
pilot-steady-013,pilot-steady-013,7894de34-e206-4e30-b0bd-ce04af9e767f,kaptain-worker,Running,2026-09-17T21:04:23Z,2026-09-17T21:04:23Z,True
pilot-steady-014,pilot-steady-014,f884d019-6ed7-4cf6-915b-0f166573c408,kaptain-worker2,Running,2026-09-17T21:04:24Z,2026-09-17T21:04:24Z,True
