task_id,pod_name,pod_uid,node,phase,created_at,scheduled_at,scheduled_status
pilot-burst0-000,pilot-burst0-000,ac50a216-ee02-4553-990a-1e351cd89e8b,kaptain-worker3,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-001,pilot-burst0-001,9efaeaa7-37ee-45b5-bab8-7cc8309d425b,kaptain-worker,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-002,pilot-burst0-002,5779ad65-baec-4236-8f43-7b476c8af94f,kaptain-worker,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-003,pilot-burst0-003,baa58e01-fa97-405d-b2ff-2313d728aa41,kaptain-worker2,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-004,pilot-burst0-004,a24a289e-56e4-4b89-848b-c5c86dc4b82e,kaptain-worker,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-005,pilot-burst0-005,4b7dc8f3-7587-4563-becc-3f85f089a783,kaptain-worker2,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-006,pilot-burst0-006,4798429b-63de-4a55-a5c0-a04163a5e0fc,kaptain-worker2,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-007,pilot-burst0-007,ac8d97e0-bde3-44ac-b52e-38e503ae540f,kaptain-worker3,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-008,pilot-burst0-008,c5efe1eb-2084-4738-aff9-1c67f589e246,kaptain-worker2,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst0-009,pilot-burst0-009,9d8640fb-30b5-42e9-9122-c3f368e53acc,kaptain-worker3,Running,2026-09-17T21:12:27Z,2026-09-17T21:12:27Z,True
pilot-burst1-000,pilot-burst1-000,2b5accb8-3b6f-4919-bebc-1c3fb282af26,kaptain-worker3,Running,2026-09-17T21:12:36Z,2026-09-17T21:12:36Z,True
pilot-burst1-001,pilot-burst1-001,5a6e8dc5-7778-4751-8b71-e47016598594,kaptain-worker2,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-002,pilot-burst1-002,4527a38e-870e-4615-b78d-0dffed7e22c5,kaptain-worker,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-003,pilot-burst1-003,8ab6bcce-846c-469c-a7d5-b6c03da301ae,kaptain-worker3,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-004,pilot-burst1-004,1a5d014b-77f1-46ad-ae22-7c3e1bea735c,kaptain-worker2,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-005,pilot-burst1-005,8847b3f7-cbe8-453f-b12c-e40a3a914a98,kaptain-worker,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-006,pilot-burst1-006,e9fc93e3-5ae3-4d59-b8da-95e3c0c3af73,kaptain-worker3,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-007,pilot-burst1-007,60484989-e500-4219-88a3-59c74f962e1f,kaptain-worker2,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-008,pilot-burst1-008,6459eb16-7a78-4ef9-9ffe-b499d1f38505,kaptain-worker2,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst1-009,pilot-burst1-009,83882576-1085-478b-8b95-8071a3a00dfa,kaptain-worker,Running,2026-09-17T21:12:37Z,2026-09-17T21:12:37Z,True
pilot-burst2-000,pilot-burst2-000,adc49990-95a1-434a-9599-cbcba0b6e0c0,kaptain-worker,Pending,2026-09-17T21:12:46Z,2026-09-17T21:12:46Z,True
pilot-burst2-001,pilot-burst2-001,10cff8f0-716a-4324-8d24-931bfdd8725e,kaptain-worker2,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-002,pilot-burst2-002,22044b24-d4b4-47a1-b05b-40c6ed7ab32e,kaptain-worker3,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-003,pilot-burst2-003,fc667c5b-11c5-43ea-b793-14e493ee21a7,kaptain-worker,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-004,pilot-burst2-004,ff0b273d-46e7-45b5-b9f7-934c532613e3,kaptain-worker3,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-005,pilot-burst2-005,b5c1e11b-4701-448d-afb5-86ca26d63c63,kaptain-worker,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-006,pilot-burst2-006,92d4b6ab-96f0-46df-b30a-305c08bb12f7,kaptain-worker2,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-007,pilot-burst2-007,19e1c50f-2f87-4149-8041-901ead25ea01,kaptain-worker3,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-008,pilot-burst2-008,1a4501ce-2c7c-4b0f-9a92-72855d2041e1,kaptain-worker3,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-burst2-009,pilot-burst2-009,6438ea53-7f42-4a58-b70a-01565ce5bbf1,kaptain-worker,Pending,2026-09-17T21:12:47Z,2026-09-17T21:12:47Z,True
pilot-steady-000,pilot-steady-000,0e3b32e2-c890-4771-9d9d-87ca67322a74,kaptain-worker,Running,2026-09-17T21:11:46Z,2026-09-17T21:11:46Z,True
pilot-steady-001,pilot-steady-001,7c374aae-bfc2-4b24-bb2b-0f0a6cc516eb,kaptain-worker2,Running,2026-09-17T21:11:47Z,2026-09-17T21:11:47Z,True
