aborted,algorithm_count,algorithm_mean_ms,algorithm_p50_ms,algorithm_p95_ms,algorithm_p99_ms,algorithm_unresolved_share,arm,attempt_count,attempt_mean_ms,attempt_p50_ms,attempt_p95_ms,attempt_p99_ms,attempt_unresolved_share,decisions,fallbacks,feasible_nodes,kubernetes_version,max_submission_lag_s,nodes_used,our_decision_mean_ms,pair_id,placed,pod_sli_count,pod_sli_mean_ms,pod_sli_p50_ms,pod_sli_p95_ms,pod_sli_p99_ms,pod_sli_unresolved_share,pods,requests_age_ms_max,run_id,scenario,strategy,telemetry_age_ms_max,telemetry_collector,ties
,60.0,3.845,2.56,12.0,44.8,0.0,extender,60.0,7.19,6.133,16.0,54.4,0.0,60,0,3,v1.31.0,0.751,3,0.2394,1,60,60.0,7.301,<10.0ms,20.0,36.0,0.8667,60,2100.0,20260917-175346-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.389,<1.0ms,<1.0ms,1.4,0.9833,plugin,60.0,3.722,3.533,7.636,11.2,0.0,60,0,3,v1.31.0,0.751,3,0.0914,1,60,60.0,3.769,<10.0ms,<10.0ms,14.0,0.9833,60,0,20260917-175502-plugin,A-lean,dummy-random,0,off,0
,60.0,3.187,2.308,10.0,14.8,0.0,extender,60.0,6.587,5.882,15.2,27.2,0.0,60,0,3,v1.31.0,0.625,3,0.1995,10,60,60.0,6.636,<10.0ms,15.714,19.143,0.8833,60,2111.0,20260917-181815-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.389,<1.0ms,<1.0ms,1.4,0.9833,plugin,60.0,3.221,3.122,7.6,13.6,0.0,60,0,3,v1.31.0,0.707,3,0.0877,10,60,60.0,3.277,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-181636-plugin,A-lean,dummy-random,0,off,0
,60.0,3.029,2.25,7.0,11.2,0.0,extender,60.0,6.304,5.926,14.5,15.7,0.0,60,0,3,v1.31.0,0.625,3,0.2248,2,60,60.0,6.357,<10.0ms,12.5,18.5,0.9333,60,1993.0,20260917-175735-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.442,<1.0ms,<1.0ms,2.8,0.95,plugin,60.0,3.63,3.769,7.556,7.911,0.0,60,0,3,v1.31.0,0.578,3,0.0935,2,60,60.0,3.677,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-175618-plugin,A-lean,dummy-random,0,off,0
,60.0,2.503,2.08,6.0,7.6,0.0,extender,60.0,5.256,5.297,11.2,15.04,0.0,60,0,3,v1.31.0,0.579,3,0.1953,3,60,60.0,5.307,<10.0ms,<10.0ms,<10.0ms,1.0,60,1998.0,20260917-175851-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.393,<1.0ms,<1.0ms,2.8,0.9833,plugin,60.0,3.737,3.517,7.81,13.6,0.0,60,0,3,v1.31.0,0.622,3,0.0827,3,60,60.0,3.8,<10.0ms,<10.0ms,14.0,0.9833,60,0,20260917-180007-plugin,A-lean,dummy-random,0,off,0
,60.0,2.705,2.387,6.0,11.2,0.0,extender,60.0,5.929,5.379,14.4,22.4,0.0,60,0,3,v1.31.0,0.58,3,0.2168,4,60,60.0,5.981,<10.0ms,10.0,18.0,0.95,60,2072.0,20260917-180239-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.382,<1.0ms,<1.0ms,<1.0ms,1.0,plugin,60.0,3.769,3.714,7.68,11.2,0.0,60,0,3,v1.31.0,0.622,3,0.0784,4,60,60.0,3.815,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-180123-plugin,A-lean,dummy-random,0,off,0
,60.0,3.609,2.385,12.0,27.2,0.0,extender,60.0,6.837,5.943,15.2,44.8,0.0,60,0,3,v1.31.0,0.57,3,0.2082,5,60,60.0,6.89,<10.0ms,18.0,34.0,0.8833,60,2054.0,20260917-180355-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.384,<1.0ms,<1.0ms,<1.0ms,1.0,plugin,60.0,3.339,3.314,7.333,7.867,0.0,60,0,3,v1.31.0,0.603,3,0.0896,5,60,60.0,3.385,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-180511-plugin,A-lean,dummy-random,0,off,0
,60.0,3.258,2.533,7.333,22.4,0.0,extender,60.0,6.669,6.057,14.667,22.4,0.0,60,0,3,v1.31.0,0.631,3,0.2389,6,60,60.0,6.729,<10.0ms,<10.0ms,28.0,0.9667,60,2035.0,20260917-180744-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.459,<1.0ms,<1.0ms,1.8,0.95,plugin,60.0,3.564,3.462,7.81,13.6,0.0,60,0,3,v1.31.0,0.7,3,0.1026,6,60,60.0,3.609,<10.0ms,<10.0ms,14.0,0.9833,60,0,20260917-180627-plugin,A-lean,dummy-random,0,off,0
,60.0,3.782,2.308,8.0,44.8,0.0,extender,60.0,6.863,5.576,16.0,44.8,0.0,60,0,3,v1.31.0,0.619,3,0.2196,7,60,60.0,6.911,<10.0ms,16.667,56.0,0.9167,60,2079.0,20260917-180900-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.427,<1.0ms,<1.0ms,1.7,0.9667,plugin,60.0,3.587,3.394,7.579,11.2,0.0,60,0,3,v1.31.0,0.579,3,0.0956,7,60,60.0,3.637,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-181015-plugin,A-lean,dummy-random,0,off,0
,60.0,3.2,2.5,7.0,22.4,0.0,extender,60.0,6.225,5.838,14.222,22.4,0.0,60,0,3,v1.31.0,0.634,3,0.2041,8,60,60.0,6.278,<10.0ms,<10.0ms,28.0,0.9667,60,2038.0,20260917-181248-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.457,<1.0ms,<1.0ms,1.8,0.95,plugin,60.0,3.525,3.486,7.429,7.886,0.0,60,0,3,v1.31.0,0.758,3,0.0983,8,60,60.0,3.571,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-181132-plugin,A-lean,dummy-random,0,off,0
,60.0,2.884,2.4,7.0,13.6,0.0,extender,60.0,6.132,5.6,14.0,22.4,0.0,60,0,3,v1.31.0,0.648,3,0.2346,9,60,60.0,6.201,<10.0ms,10.0,18.0,0.95,60,2029.0,20260917-181404-extender,A-lean,dummy-random,0.0,off,0
,60.0,0.385,<1.0ms,<1.0ms,2.8,0.9833,plugin,60.0,3.749,3.625,7.652,11.2,0.0,60,0,3,v1.31.0,0.59,3,0.0751,9,60,60.0,3.796,<10.0ms,<10.0ms,14.0,0.9833,60,0,20260917-181520-plugin,A-lean,dummy-random,0,off,0
,60.0,6.424,4.552,16.0,54.4,0.0,extender,60.0,9.486,7.529,16.0,54.4,0.0,60,0,3,v1.31.0,0.664,3,0.2315,1,60,60.0,9.573,<10.0ms,20.0,56.0,0.7667,60,2129.0,20260917-170409-extender,A-light,dummy-random,0.0,off,0
,60.0,0.629,<1.0ms,1.8,3.4,0.8833,plugin,60.0,4.756,4.143,8.0,14.4,0.0,60,0,3,v1.31.0,0.873,3,0.1138,1,60,60.0,4.833,<10.0ms,10.0,18.0,0.95,60,0,20260917-170525-plugin,A-light,dummy-random,0,off,0
,60.0,5.858,3.875,12.0,89.6,0.0,extender,60.0,9.062,7.333,15.636,89.6,0.0,60,0,3,v1.31.0,0.745,3,0.2288,10,60,60.0,9.448,<10.0ms,19.231,112.0,0.75,60,2067.0,20260917-172815-extender,A-light,dummy-random,0.0,off,0
,60.0,0.415,<1.0ms,<1.0ms,2.8,0.9667,plugin,60.0,3.295,3.143,7.429,11.2,0.0,60,0,3,v1.31.0,0.601,3,0.0823,10,60,60.0,3.34,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-172658-plugin,A-light,dummy-random,0,off,0
,60.0,5.712,4.516,8.0,44.8,0.0,extender,60.0,9.412,7.529,16.0,54.4,0.0,60,0,3,v1.31.0,0.733,3,0.2178,2,60,60.0,9.463,<10.0ms,20.0,68.0,0.7833,60,2050.0,20260917-170757-extender,A-light,dummy-random,0.0,off,0
,60.0,0.396,<1.0ms,<1.0ms,1.7,0.9667,plugin,60.0,3.614,3.389,7.556,11.2,0.0,60,0,3,v1.31.0,0.597,3,0.0758,2,60,60.0,3.67,<10.0ms,<10.0ms,14.0,0.9833,60,0,20260917-170641-plugin,A-light,dummy-random,0,off,0
,60.0,6.059,4.533,12.0,89.6,0.0,extender,60.0,9.2,7.871,15.704,89.6,0.0,60,0,3,v1.31.0,0.637,3,0.2327,3,60,60.0,9.248,<10.0ms,19.167,56.0,0.7667,60,2113.0,20260917-170913-extender,A-light,dummy-random,0.0,off,0
,60.0,0.395,<1.0ms,<1.0ms,1.7,0.9667,plugin,60.0,3.5,3.263,7.467,11.2,0.0,60,0,3,v1.31.0,0.702,3,0.0829,3,60,60.0,3.553,<10.0ms,<10.0ms,14.0,0.9833,60,0,20260917-171029-plugin,A-light,dummy-random,0,off,0
,60.0,5.92,4.552,13.333,44.8,0.0,extender,60.0,8.973,7.75,15.692,44.8,0.0,60,0,3,v1.31.0,0.705,3,0.2361,4,60,60.0,9.026,<10.0ms,19.375,56.0,0.7,60,2101.0,20260917-171301-extender,A-light,dummy-random,0.0,off,0
,60.0,0.479,<1.0ms,<1.0ms,2.8,0.9667,plugin,60.0,3.697,3.371,8.0,14.4,0.0,60,0,3,v1.31.0,0.772,3,0.131,4,60,60.0,3.75,<10.0ms,<10.0ms,14.0,0.9833,60,0,20260917-171145-plugin,A-light,dummy-random,0,off,0
,60.0,4.48,4.138,7.862,13.6,0.0,extender,60.0,8.144,7.529,15.36,44.8,0.0,60,0,3,v1.31.0,0.614,3,0.1967,5,60,60.0,8.204,<10.0ms,18.333,28.0,0.7833,60,1967.0,20260917-171417-extender,A-light,dummy-random,0.0,off,0
,60.0,0.394,<1.0ms,<1.0ms,1.4,0.9833,plugin,60.0,3.593,3.444,7.579,11.2,0.0,60,0,3,v1.31.0,0.72,3,0.0804,5,60,60.0,3.653,<10.0ms,<10.0ms,<10.0ms,1.0,60,0,20260917-171534-plugin,A-light,dummy-random,0,off,0
,60.0,5.657,4.645,16.0,28.8,0.0,extender,60.0,8.763,7.75,16.0,44.8,0.0,60,0,3,v1.31.0,0.764,3,0.2164,6,60,60.0,8.813,<10.0ms,20.0,36.0,0.7,60,2092.0,20260917-171806-extender,A-light,dummy-random,0.0,off,0
